VariableName,typeSeqID,weight,group,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,choice1,choice1_vn,choice1_en,choice1_th,choice1_in,choice1_ph,choice1_ma,choice2,choice2_vn,choice2_en,choice2_th,choice2_in,choice2_ph,choice2_ma,choice3,choice3_vn,choice3_en,choice3_th,choice3_in,choice3_ph,choice3_ma,choice4,choice4_vn,choice4_en,choice4_th,choice4_in,choice4_ph,choice4_ma,answer,imgID
88,2,50,209,Which Pokémon has relatively weak territorial awareness?  ,Pokémon nào có ý thức lãnh thổ tương đối yếu?,Which Pokémon has relatively weak territorial awareness?  ,โปเกมอนตัวใดมีสัญชาตญาณปกป้องอาณาเขตอ่อนแอ?  ,Pokémon mana yang memiliki kesadaran wilayah yang lemah?  ,Aling Pokémon ang may mahinang kamalayang pang-teritoryo?  ,Pokémon manakah yang mempunyai kesedaran wilayah yang agak lemah?,Rattata,Rattata,Rattata  ,รัตตาต้า  ,Rattata  ,Rattata  ,Rattata  ,Big Mouth Flute  ,Đại Miệng Sáo,Big Mouth Flute  ,ขลุ่ยปากกว้าง  ,Seruling Mulut Besar  ,Flawta ng Malaking Bibig  ,Seruling Mulut Besar  ,Pidgey  ,Pidgey,Pidgey  ,พิดจีย์  ,Pidgey  ,Pidgey  ,Pidgey  ,Large Bee Sting  ,Lớn châm ong,Large Bee Sting  ,ต่อยผึ้งใหญ่  ,Tebas Lebah Besar  ,Large Bee Sting  ,Sengat Lebah Besar  ,,
89,2,50,210,Jirachi is a Pokémon that grants human wishes and awakens once every thousand years. How many days does it stay awake?  ,"Pokémon Jirachi là một Pokémon trao truyền và thực hiện những ước muốn của con người, mỗi ngàn năm nó thức dậy một lần, nhưng chỉ có thể thức dậy bao nhiêu ngày?",Jirachi is a Pokémon that grants human wishes and awakens once every thousand years. How many days does it stay awake?  ,Jirachi เป็นโปเกมอนที่ทำให้ความปรารถนาเป็นจริงและตื่นขึ้นทุกพันปี มันจะตื่นอยู่ได้กี่วัน?  ,Jirachi adalah Pokémon yang memenuhi keinginan manusia dan bangun setiap seribu tahun. Berapa hari ia tetap terbangun?  ,Si Jirachi ay Pokémon na tumutupad ng kahilingan at gumigising tuwing isang libong taon. Ilang araw ito nananatiling gising?  ,"Jirachi adalah Pokémon yang menyampaikan dan memenuhi hasrat manusia, ia bangun sekali setiap seribu tahun, tetapi hanya akan terjaga selama berapa hari?",7 ngày,7 ngày,7 days  ,7 วัน  ,7 hari  ,7 araw  ,7 hari  ,3 days  ,3 ngày,3 days  ,3 วัน  ,3 hari  ,3 araw  ,3 hari  ,5 days  ,5 ngày,5 days  ,5 วัน  ,5 hari  ,5 araw  ,5 hari  ,10 Skies  ,10 Trời,10 Skies  ,10 ฟ้า  ,10 Langit  ,10 Skies  ,10 Langit  ,,
90,2,50,211,Which Pokémon swims the fastest?  ,Pokémon nào có tốc độ bơi nhanh nhất?,Which Pokémon swims the fastest?  ,โปเกมอนตัวใดว่ายน้ำเร็วที่สุด?  ,Pokémon mana yang berenang paling cepat?  ,Aling Pokémon ang pinakamabilis lumangoy?  ,Pokémon manakah yang mempunyai kelajuan renang terpantas?,Golduck,Golduck,Golduck  ,โกลดั๊ก  ,Golduck  ,Golduck  ,Golduck  ,Golden Serpent Cannon  ,Súng Pháo Kim Xà,Golden Serpent Cannon  ,ปืนใหญ่ทองงู  ,Meriam Ular Emas  ,Kanyon ng Gintong Ahas  ,Meriam Ular Emas  ,Seal  ,Seal,Seal  ,ซีล  ,Seal  ,Seal  ,Seal  ,Golden Fish Horn  ,Sừng cá vàng,Golden Fish Horn  ,เขาปลาทอง  ,Tanduk Ikan Emas  ,Golden Fish Horn  ,Tanduk Ikan Emas  ,,
91,2,50,212,In what state can Unwavering Kid perform kicks as gracefully as a dance?  ,Trong trạng thái nào mà Unwavering Kid có thể thực hiện kỹ thuật đá một cách điệu nghệ như một điệu nhảy?,In what state can Unwavering Kid perform kicks as gracefully as a dance?  ,ในสถานะใด Unwavering Kid สามารถเตะได้อย่างสวยงามเหมือนการเต้นรำ?  ,Dalam kondisi apa Unwavering Kid bisa menendang dengan indah seperti tarian?  ,Sa anong kondisyon makakasipa si Unwavering Kid na parang sayaw?  ,Dalam keadaan apa Unwavering Kid boleh melakukan teknik tendangan dengan gaya seperti tarian?,Khi tiến hóa thành Battle Dance King,Khi tiến hóa thành Battle Dance King,When it evolves into Battle Dance King  ,เมื่อวิวัฒนาการเป็นราชันแห่งระบำต่อสู้  ,Saat berevolusi menjadi Raja Tarian Perang  ,Kapag nag-evolve bilang Hari ng Sayaw sa Laban  ,Apabila berevolusi sebagai Raja Tarian dalam Pertempuran  ,Not evolved  ,Chưa tiến hóa,Not evolved  ,ยังไม่วิวัฒนาการ  ,Belum berevolusi  ,Hindi pa nag-evolve  ,Belum berevolusi  ,When evolving into Hitmonlee  ,Khi tiến hóa thành Hitmonlee,When evolving into Hitmonlee  ,เมื่อวิวัฒนาการเป็นฮิตมอนลี  ,Saat berevolusi menjadi Hitmonlee  ,Kapag nag-evolve sa Hitmonlee  ,Apabila berevolusi menjadi Hitmonlee  ,Evolves into Swift Fist Wolf  ,Tiến hóa thành khoái quyền lang lúc,Evolves into Swift Fist Wolf  ,วิวัฒนาการเป็นหมาป่ากำปั้นเร็ว  ,Berevolusi menjadi Serigala Tinju Cepat  ,Evolves into Swift Fist Wolf  ,Berkembang Menjadi Serigala Tinju Cepat  ,,
92,2,50,213,What causes the formation of Doublé Do Do Ice?  ,Nguyên nhân hình thành Doublé Do Do Ice là gì?,What causes the formation of Doublé Do Do Ice?  ,อะไรคือสาเหตุของการก่อตัวของ Doublé Do Do Ice?  ,Apa penyebab terbentuknya Doublé Do Do Ice?  ,Ano ang sanhi ng pagkabuo ng Doublé Do Do Ice?  ,Apakah punca pembentukan Doublé Do Do Ice?,Được cho là khi hai bông tuyết tan chảy rồi đông lại tạo thành,Được cho là khi hai bông tuyết tan chảy rồi đông lại tạo thành,Said to be formed when two snowflakes melt and refreeze  ,กล่าวกันว่าเกิดขึ้นเมื่อเกล็ดหิมะสองอันละลายและแข็งตัวใหม่  ,Konon terbentuk saat dua keping salju mencair lalu membeku kembali  ,Sinasabing nabuo kapag dalawang snowflake ang natunaw at nagyelo muli  ,Dikatakan terbentuk apabila dua kepingan salji cair dan membeku semula  ,Formed from a repeatedly split and re-fused ice block  ,Hình thành từ một đoạn đông đá nhiều lần phân tách và tái kết hợp,Formed from a repeatedly split and re-fused ice block  ,ก่อตัวจากน้ำแข็งที่แยกตัวและรวมตัวซ้ำ  ,Terbentuk dari bongkahan es yang terus pecah dan menyatu kembali  ,Nabuo mula sa yelong paulit-ulit na naputol at nagsanib muli  ,Terbentuk daripada ais yang berulang kali pecah dan bercantum semula  ,"Because during the blizzard, many ices changed form  ","Vì trong bão tuyết, nhiều nhiều băng đã thay đổi hình dạng","Because during the blizzard, many ices changed form  ",เพราะในพายุหิมะ น้ำแข็งหลายก้อนเปลี่ยนรูป  ,"Karena selama badai salju, banyak es berubah bentuk  ","Dahil sa snowstorm, maraming yelo ang nagbago ng anyo  ","Kerana semasa ribut salji, banyak ais berubah bentuk  ",Because training the blacksmith finally formed  ,Bởi vì huấn luyện nhà rèn luyện cuối cùng hình thành,Because training the blacksmith finally formed  ,เพราะการฝึกฝนช่างเหล็กในที่สุดก่อตัวขึ้น  ,Karena pelatihan pandai besi akhirnya terbentuk  ,Because training the blacksmith finally formed  ,Kerana latihan pandai besi akhirnya terbentuk  ,,
93,2,50,214,Froakie has excellent jumping ability—what’s the highest jump it achieved in one minute?  ,"Froakie sở hữu khả năng nhảy cao tuyệt vời, kỷ lục cao nhất mà nó từng đạt được trong một phút là bao nhiêu?",Froakie has excellent jumping ability—what’s the highest jump it achieved in one minute?  ,Froakie กระโดดเก่งมาก — มันเคยกระโดดได้สูงสุดเท่าไหร่ในหนึ่งนาที?  ,Froakie sangat pandai melompat — seberapa tinggi rekor yang dicapai dalam satu menit?  ,Gaano kataas ang pinakamataas na talon ni Froakie sa loob ng isang minuto?  ,"Froakie mempunyai keupayaan melompat yang hebat, rekod tertinggi yang pernah dicapainya dalam satu minit adalah berapa?",600m,600m,600m,600m,600m,600m,600m  ,500m  ,500m,500m  ,500 เมตร  ,500m  ,500m  ,500m  ,800m  ,800m,800m  ,800 เมตร  ,800m  ,800m  ,800m  ,1000m  ,1000m,1000m  ,1000เมตร  ,1000m  ,1000m  ,1000m  ,,
94,2,50,215,How cold can Regice control temperature down to?  ,Regice có thể kiểm soát nhiệt độ lạnh đến bao nhiêu độ?,How cold can Regice control temperature down to?  ,Regice ควบคุมอุณหภูมิให้เย็นได้ถึงกี่องศา?  ,Seberapa dingin suhu yang bisa dikendalikan Regice?  ,Gaano kalamig ang kontrol ng temperatura ni Regice?  ,Regice boleh mengawal suhu sejuk hingga berapa darjah?,-200°C,-200°C,-200°C,-200°C,-200°C,-200°C,-200°C  ,-100° C  ,-100° C,-100° C  ,-100° C  ,-100° C  ,-100° C  ,-100° C  ,-300°  ,-300°,-300°  ,-300°  ,-300°  ,-300°  ,-300°  ,Negative 400°  ,Âm 400°,Negative 400°  ,ลบ 400°  ,Minus 400°  ,Negative 400°  ,Negatif 400°  ,,
95,2,50,216,How many legs does Super Evil Star have?  ,Siêu Xấu Star có bao nhiêu chân?,How many legs does Super Evil Star have?  ,Super Evil Star มีขากี่ขา?  ,Super Evil Star punya berapa kaki?  ,Ilang paa meron ang Super Evil Star?  ,Berapa kaki yang dimiliki oleh Siêu Xấu Star?,12 cái,12 cái,12 pieces  ,12 ชิ้น  ,12 buah  ,12 piraso  ,12 keping  ,10 units  ,10 con,10 units  ,10 ตัว  ,10 ekor  ,10 piraso  ,10 keping  ,8 creatures  ,8 con,8 creatures  ,8 ตัว  ,8 makhluk  ,8 nilalang  ,8 ekor  ,6 Fingers  ,6 Chỉ,6 Fingers  ,6 นิ้ว  ,6 Jari  ,6 Fingers  ,6 Jari  ,,
96,2,50,217,At what temperature (°C) can Ducklet Fire Beast spit fireballs?  ,Ducklet Fire Beast có thể phun ra quả cầu lửa có nhiệt độ bao nhiêu độ C?,At what temperature (°C) can Ducklet Fire Beast spit fireballs?  ,Ducklet Fire Beast พ่นลูกไฟที่อุณหภูมิเท่าไร (°C)?  ,Ducklet Fire Beast bisa menyemburkan bola api dengan suhu berapa derajat Celsius?  ,Gaano kainit ang apoy na ibinubuga ng Ducklet Fire Beast (sa °C)?  ,Ducklet Fire Beast boleh memuntahkan bola api dengan suhu berapa darjah Celsius?,2000°C,2000°C,2000°C,2000°C,2000°C,2000°C,2000°C  ,3000°C  ,3000°C,3000°C  ,3000°C  ,3000°C  ,3000°C  ,3000°C  ,5000°C  ,5000°C,5000°C  ,5000°C  ,5000°C  ,5000°C  ,5000°C  ,1000 Degrees Celsius  ,1000 Độ C,1000 Degrees Celsius  ,1000 องศาเซลเซียส  ,1000 Derajat Celsius  ,1000 Degrees Celsius  ,1000 Darjah Celsius  ,,
97,2,50,218,Which of the following Pokémon was not created by Regigigas?  ,"Dưới đây, Pokémon nào không được tạo ra bởi Regigigas?",Which of the following Pokémon was not created by Regigigas?  ,โปเกมอนตัวใดต่อไปนี้ไม่ถูกสร้างโดย Regigigas?  ,Pokémon mana di bawah ini yang bukan hasil ciptaan Regigigas?  ,Aling Pokémon sa ibaba ang hindi nilikha ni Regigigas?  ,"Antara Pokémon di bawah, yang manakah tidak dicipta oleh Regigigas?",Raikou,Raikou,Raikou  ,ไรโค  ,Raikou  ,Raikou  ,Raikou  ,Regirock  ,Regirock,Regirock  ,เรจิร็อค  ,Regirock  ,Regirock  ,Regirock  ,Regice  ,Regice,Regice  ,เรจิไอซ์  ,Regice  ,Regice  ,Regice  ,Thunder Sand Ace  ,Lôi Cát Ace,Thunder Sand Ace  ,ทรายสายฟ้า Ace  ,Pasir Petir Ace  ,Thunder Sand Ace  ,Pasir Petir Ace  ,,
98,2,50,219,"After Mega Evolution, how many spoons float around Alakazam?  ","Sau khi Mega Evolution, số lượng muỗng bay quanh Alakazam trở thành bao nhiêu cái?","After Mega Evolution, how many spoons float around Alakazam?  ",หลังการเมกาอีโวลูชัน มีช้อนลอยรอบ Alakazam กี่อัน?  ,"Setelah Mega Evolution, berapa banyak sendok yang mengelilingi Alakazam?  ","Pagkatapos ng Mega Evolution, ilang kutsara ang lumulutang sa paligid ni Alakazam?  ","Selepas Mega Evolution, berapa jumlah sudu yang terapung di sekitar Alakazam?",5 cái,5 cái,5 pieces  ,5 ชิ้น  ,5 buah  ,5 piraso  ,5 keping  ,4 pieces  ,4 cái,4 pieces  ,4 ชิ้น  ,4 buah  ,4 piraso  ,4 keping  ,6 creatures  ,6 con,6 creatures  ,6 ตัว  ,6 makhluk  ,6 nilalang  ,6 ekor  ,3 Pieces  ,3 Cái,3 Pieces  ,3 ชิ้น  ,3 Potong  ,3 Pieces  ,3 Keping  ,,
99,2,50,220,Which Pokémon has a body temperature hotter than the surface of the Sun?  ,Pokémon nào có nhiệt độ cơ thể cao hơn nhiệt độ bề mặt của Mặt trời?,Which Pokémon has a body temperature hotter than the surface of the Sun?  ,โปเกมอนตัวใดมีอุณหภูมิร่างกายสูงกว่าผิวของดวงอาทิตย์?  ,Pokémon mana yang memiliki suhu tubuh lebih panas dari permukaan Matahari?  ,Aling Pokémon ang may temperature ng katawan na mas mainit kaysa sa Araw?  ,Pokémon manakah yang mempunyai suhu badan lebih tinggi daripada permukaan Matahari?,Magma Snail,Magma Snail,Magma Snail  ,หอยทากแม็กมา  ,Siput Magma  ,Magma Snail  ,Siput Magma  ,Little Fire Dragon  ,Tiểu Hỏa Long,Little Fire Dragon  ,มังกรไฟน้อย  ,Naga Api Kecil  ,Munting Dragon ng Apoy  ,Naga Api Kecil  ,Solrock  ,Solrock,Solrock  ,โซลร็อก  ,Solrock  ,Solrock  ,Solrock  ,Blazing Horse  ,Liệt diễm ngựa,Blazing Horse  ,ม้าลุกโชน  ,Kuda Menyala  ,Blazing Horse  ,Kuda Membakar  ,,
100,2,50,221,Which Pokémon lays eggs that make people gentle and kind after eating them?  ,Pokémon nào có trứng sau khi con người ăn sẽ trở nên cực kỳ hiền lành và tử tế?,Which Pokémon lays eggs that make people gentle and kind after eating them?  ,โปเกมอนตัวใดมีไข่ที่เมื่อกินเข้าไปจะทำให้คนใจดี?  ,Pokémon mana yang telurnya bisa membuat orang menjadi sangat ramah dan lembut setelah dimakan?  ,Aling Pokémon ang may itlog na nagpapabait sa tao matapos kainin?  ,Pokémon manakah yang telurnya boleh menjadikan manusia sangat baik hati dan lemah lembut selepas memakannya?,Blissey,Blissey,Blissey  ,บลิสซี่  ,Blissey  ,Blissey  ,Blissey  ,Egg  ,Quả Trứng,Egg  ,ไข่  ,Telur  ,Itlog  ,Telur  ,Jigglypuff  ,Jigglypuff,Jigglypuff  ,จิกกลี้พัฟ  ,Jigglypuff  ,Jigglypuff  ,Jigglypuff  ,Coconut Egg Tree  ,Dừa trứng cây,Coconut Egg Tree  ,ต้นมะพร้าวไข่  ,Kelapa Telur Pohon  ,Coconut Egg Tree  ,Pokok Telur Kelapa  ,,
101,2,50,222,How many unknown Totem types are there?  ,Có bao nhiêu loại Totem chưa biết?,How many unknown Totem types are there?  ,มีโทเท็มที่ไม่รู้จักกี่ชนิด?  ,Ada berapa jenis Totem yang tidak diketahui?  ,Ilan ang hindi pa kilalang klase ng Totem?  ,Terdapat berapa jenis Totem yang tidak diketahui?,28 loại,28 loại,28 types  ,28 ประเภท  ,28 jenis  ,28 uri  ,28 jenis  ,26 types  ,26 loại,26 types  ,26 ชนิด  ,26 jenis  ,26 na uri  ,26 jenis  ,32 types  ,32 loại,32 types  ,32 ชนิด  ,32 jenis  ,32 uri  ,32 jenis  ,34 Types  ,34 Loại,34 Types  ,34 ชนิด  ,34 Jenis  ,34 Types  ,34 Jenis  ,,
102,2,50,222,What do the first 26 Totems represent?  ,26 Totem đầu tiên đại diện cho cái gì?,What do the first 26 Totems represent?  ,โทเท็ม 26 ตัวแรกแสดงถึงอะไร?  ,26 Totem pertama mewakili apa?  ,Ano ang kinakatawan ng unang 26 Totem?  ,26 Totem pertama mewakili apa?,Chữ cái tiếng Anh,Chữ cái tiếng Anh,English letters  ,ตัวอักษรภาษาอังกฤษ  ,Huruf Inggris  ,Mga titik sa Ingles  ,Huruf dalam Bahasa Inggeris  ,Roman numerals  ,Chữ số La Mã,Roman numerals  ,เลขโรมัน  ,Angka Romawi  ,Mga Romanong numero  ,Nombor Roman  ,Ruin inscriptions  ,Chữ khắc di tích,Ruin inscriptions  ,จารึกโบราณ  ,Prasasti reruntuhan  ,Mga inskripsiyon sa guho  ,Inskripsi tinggalan  ,Spirit Symbols  ,Tinh linh ký hiệu,Spirit Symbols  ,สัญลักษณ์จิตวิญญาณ  ,Simbol Roh  ,Spirit Symbols  ,Simbol Roh  ,,
